,Unnamed: 0,Type,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor,FP16_GFLOPS,FP32_GFLOPS,FP64_GFLOPS
2104,4296,GPU,28.0,65.0,77.0,950.0,1000,AMD,,806.4,50.4
2105,4297,GPU,130.0,,73.0,,300,ATI,,,
2106,4298,GPU,8.0,80.0,276.0,13250.0,900,NVIDIA,10940.0,10940.0,171.0
2107,4299,GPU,32.0,35.0,246.0,1303.0,533,AMD,,553.0,
2108,4300,GPU,28.0,33.0,87.0,1020.0,719,NVIDIA,,552.2,23.01
2109,4301,GPU,28.0,33.0,,,1082,NVIDIA,,588.8,18.4
2110,4302,GPU,28.0,55.0,228.0,2940.0,695,NVIDIA,,2122.0,66.3
2111,4303,GPU,110.0,,74.0,107.0,300,ATI,,,
2112,4304,GPU,110.0,36.0,74.0,107.0,375,ATI,,,
2113,4305,GPU,150.0,,88.0,25.0,200,NVIDIA,,,
2114,4306,GPU,28.0,15.0,116.0,585.0,625,NVIDIA,,240.0,20.0
2115,4307,GPU,28.0,15.0,125.0,1200.0,200,AMD,325.2,325.2,20.33
2116,4308,GPU,110.0,,156.0,120.0,400,ATI,,,
2117,4309,GPU,90.0,75.0,196.0,278.0,375,NVIDIA,,,
2118,4310,GPU,32.0,65.0,227.0,1178.0,600,AMD,,480.0,
2119,4311,GPU,28.0,275.0,438.0,6200.0,1050,AMD,,5914.0,739.2
2120,4312,GPU,80.0,20.0,169.0,289.0,475,NVIDIA,,60.8,
2121,4313,GPU,12.0,115.0,445.0,10800.0,900,NVIDIA,10370.0,5184.0,162.0
2122,4314,GPU,65.0,197.0,324.0,754.0,600,NVIDIA,,384.0,
2123,4315,GPU,45.0,13.0,66.0,123.0,400,Intel,,12.8,
2124,4316,GPU,40.0,150.0,332.0,1950.0,650,NVIDIA,,748.8,62.4
2125,4317,GPU,180.0,,64.0,20.0,175,NVIDIA,,,
2126,4318,GPU,40.0,26.0,104.0,627.0,650,ATI,,520.0,
2127,4319,GPU,65.0,23.0,86.0,210.0,540,NVIDIA,,20.8,
2128,4320,GPU,110.0,,154.0,146.0,300,NVIDIA,,,
2129,4321,GPU,65.0,40.0,144.0,314.0,450,NVIDIA,,35.2,
2130,4322,GPU,14.0,15.0,,,350,Intel,768.0,384.0,96.0
2131,4323,GPU,32.0,35.0,246.0,1303.0,496,AMD,,263.4,
2132,4324,GPU,150.0,,142.0,63.0,300,NVIDIA,,,
2133,4325,GPU,40.0,225.0,520.0,3000.0,574,NVIDIA,,1028.0,513.9
2134,4326,GPU,65.0,58.0,186.0,300.0,550,NVIDIA,,,
